富樫泰高||加賀守護をめぐる抗争、半国分治、一向一揆後の再擁立を評価する。晩年の実権には制約があった。1504年以前の死去とされ、1546年の出仕対象を意味しない。|M:24:在地勢力を組織して守護職を争ったが支配は分裂。;P:22:加賀の長期抗争への参戦を地域主力の標準遂行とする。;M:23:幕府有力者との連携で復帰した一方、一揆側の制約を受けた。;M:23:半国分治と守護職の運営を担うが全域支配は安定しなかった。;N:12:富樫泰高について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
河野政通||宇須岸の館と箱館の地名由来、蝦夷地での補佐役として知られる。捕虜となったという伝承と子の戦死は分ける。15世紀の活動が中心。|P:20:館を拠点とする現地守備の責任を評価。;P:19:コシャマインの戦いに関係する守備を限定的に評価し捕虜説だけで失策扱いしない。;N:12:河野政通について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:23:館の設置と地域拠点形成を評価するが近代都市建設と同一視しない。;N:12:河野政通について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
落合道久||鳥居強右衛門の背旗で知られる落合左平次道次と道久は同定問題がある。東京大学の著者紹介も両者の区別を調査課題としており、道次の逸話を道久へ加点しない。|N:12:落合道久について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:落合道久について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:落合道久について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:落合道久について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:落合道久について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小早川弘景 (二代)||応仁期の出陣、沼田家との和睦と所領確保、弘景置文を評価。祖父の同名人物と分け、波多見島を失った経緯も反映する。|P:23:安芸の西軍主力として各地に出陣した責任を評価。;P:22:船越・高山城方面の戦役参加を標準遂行とする。;M:23:和睦で所領を確保した一方、野間氏との争いでは島を失った。;A:25:置文で家中運営の基本を定めた制度面の実績。;A:22:家中を取りまとめる規範整備を評価するが定着実績の長期検証は残る。
土岐頼春||上総万喜城の土岐氏。里見方を退けた伝承と小田原征伐時の敗北を併せて評価する。兵数の誇張や義成との名乗りの照合は残件。|M:24:万喜城を拠点とする継続的防衛と最終的な敗北を反映。;M:24:里見勢の撃退と徳川勢への敗北の双方を採る。;P:21:地域勢力との対抗・連携を担う当主の戦略実務。;P:22:万喜城周辺の領地運営を標準遂行とする。;N:12:土岐頼春について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
渥美友元||清康期の謀反鎮圧、今橋の船戦、井田野での軍功を家譜に基づく人物伝から参照。1544年没で開始時出仕とは切り離す。|P:22:船戦と陸戦に継続参加した部隊運用を評価。;A:24:今橋の船戦など複数の現場戦功を評価。;A:22:謀反を察知して背後を突いた危機対応を限定的に評価。;N:12:渥美友元について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:渥美友元について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
柴田勝義||柴田勝家の父とする系図に疑義があり、確実な史料では父名不明とする研究がある。勝家や他の柴田姓武将の戦功を転用せず、全項目を資料不足の暫定値とする。|N:12:柴田勝義について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:柴田勝義について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柴田勝義について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柴田勝義について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柴田勝義について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
安東家政||茂別館を守った人物として新羅之記録などに現れる。守護の分担と政権獲得過程には異説があり、征服を一律の統治功績としない。1500年前後の没とされる。|A:23:茂別館を維持した守備体制を評価。;A:23:コシャマインの戦いで館を守り通した戦果。;P:21:蠣崎氏などとの地域連携を担った範囲を評価。;P:21:館と和人地の管理を担った範囲に限定する。;N:12:安東家政について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小山政長||政氏・高基間の対立下で小山家の実権を握り、対外連絡と家政を行う。父成長の行動と区別し、家督継承や没年の異説を保持。|N:12:小山政長について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:小山政長について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:22:公方家の対立下での陣営調整・対外連絡を評価。;P:22:小山家の家政と被官を含む家中への配慮を標準的な運営とする。;N:12:小山政長について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
長井秀弘||船田合戦で加納を守り、攻め手の大将を討ち退けた。翌年の近江出兵から帰還中に戦死。長井長弘の功績とは分離。|P:22:加納の守備と近江出陣の部隊運用を評価。;M:24:加納防衛の戦果と帰路での敗死を併せて評価。;N:12:長井秀弘について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:長井秀弘について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:長井秀弘について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
宇佐美房忠||上杉定実側の中心として長尾為景に対抗したが、小野城陥落後に戦死した。定満の逸話は加えない。1514年没。|F:6:参照範囲の軍事指揮は拠点喪失と敗死に終わる。;F:5:小野・岩手での敗北以外の本人の部隊戦果を確認できない。;F:6:定実を支える反為景戦略が敗れた。;P:20:琵琶島城主の拠点運営を担った範囲を評価。;N:12:宇佐美房忠について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
村上隆勝||能島村上氏当主。国分山合戦の感状、塩飽代官職、細川・大内・河野・大友との関係を参照。武吉期の海上支配を遡って加算しない。|P:23:海上勢力を率いて広域の軍事要請に対応した。;A:23:国分山の感状に基づく戦功を評価。;A:24:複数の有力勢力との連絡と塩飽権益の獲得。;P:22:塩飽代官としての交通拠点管理を評価する。;N:12:村上隆勝について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
細川晴宣||高国方の和泉守護。菱木合戦では敗れ、その後の没落・死亡時期には異説がある。香西元盛らの勝利を本人の戦果としない。|F:6:参照範囲の指揮結果は菱木での敗北が中心。;F:5:本人に帰せる成功例を確認できず菱木の敗北を反映。;N:12:細川晴宣について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:22:和泉守護として活動した範囲を標準遂行とする。;N:12:細川晴宣について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
細川刑部大輔||表示名は既存台帳の細川政清。和泉上守護として推戴されたが実権には制約があった。畠山家との養子関係には異説があり、別名を確定した扱いにしない。|N:12:細川刑部大輔について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:細川刑部大輔について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:20:和泉上守護として対外書状と推戴に関わる政治的役割。;P:18:形式的な守護職を考慮し、実際の領国統治力は限定評価。;N:12:細川刑部大輔について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
平井頼母||美濃高山城の守備と森氏との関係を参照。出自、攻城年代、謀殺した人物に相互矛盾のある伝承があり、細かな人数・日時の確定は保留。|P:21:高山城での守備担当を地方拠点規模の標準遂行とする。;M:19:守備参加と落城・退去を併記し伝承の勝利を過大評価しない。;M:17:勢力間で所属を調整したが最終経緯に失敗と異説がある。;P:20:城主としての拠点運営を評価。;N:12:平井頼母について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
赤松凝淵斉||小田四天王に数えられ山王堂で応戦したとされる。赤松則実との同一説や居城の同定は未確定で、同名系統の功績を合算しない。|P:21:小田方の守将として現場の軍役を担う範囲。;P:22:山王堂での応戦を地域の重要戦役の標準遂行として採る。;N:12:赤松凝淵斉について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:赤松凝淵斉について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:赤松凝淵斉について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
黒正甚兵衛||尼子方の郡山・瀬戸山での戦い、富田戦での寝返り工作を伝記から参照。逃亡の逸話は軍記的内容として留保し、捕虜になった事実だけで全能力を下げない。|M:19:部隊指揮を担ったが郡山などでは敗れた。;M:19:防戦の働きと敗退・降伏を併せて評価。;A:22:富田戦での離反工作への関与を限定的な戦略成果として採る。;N:12:黒正甚兵衛について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:黒正甚兵衛について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
丸尾義清||袋井・掛川の教育委員会資料に本間氏清と同じ家系の領主として記載。高天神に関係する供養塔の説明を参照し、後世の供養と同時代証拠を区別する。|P:21:高天神の防衛に関わる地域武将の部隊運用を評価。;P:21:高天神戦域の守備参加を標準遂行とする。;N:12:丸尾義清について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:欠ノ上・小野田に関わる領地運営を限定的に評価。;N:12:丸尾義清について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
本間氏清||丸尾家から本間家に入り、遠江の領主として徳川側に従った。高天神関係の自治体展示解説を参照し、供養塔の存在を単独で戦功証明にしない。|P:21:遠江の現地守備に従う指揮役を評価。;P:22:高天神の重要戦域における守備参加を標準遂行とする。;N:12:本間氏清について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:本間家の地域領地を管理する立場を評価。;N:12:本間氏清について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大崎勝長||朝鮮出兵の軍功、上田迂回の進言、大坂冬の陣への参加を参照。伝記中の一部元号・西暦対応には誤りがあり、採用されなかった進言を成功策と断定しない。|P:22:清正配下などでの軍役を主要戦域の標準遂行として評価。;M:22:朝鮮での軍功と大坂での戦死を併せて評価。;P:21:上田での行軍方針の進言を戦略実務の参加とする。;N:12:大崎勝長について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:大崎勝長について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
坪内頼定||尾張での奉公、松倉城築城と坪内家継承を家譜系の人物伝から参照。加賀・越前の富樫姓との関係は系譜上の留保を付す。|P:20:松倉城の守備責任を担う範囲。;N:12:坪内頼定について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:坪内頼定について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:22:松倉城を拠点とした家の基盤形成を評価。;N:12:坪内頼定について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
岸本惣次郎||八浜七本槍の一員として追撃阻止に関わった人物。七人の集団成果を一人の独力の勝利とせず、個別の指揮兵数は不明とする。|P:20:八浜での後退支援に関わる現場運用を限定評価。;A:23:八浜で追撃を阻んだ集団の戦果への寄与。;N:12:岸本惣次郎について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:岸本惣次郎について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:岸本惣次郎について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小森三郎右衛門||八浜七本槍としての活動を参照。同名の近世藩士との接続は確認していないため、別の侍帳の役職・石高を取り込まない。|P:20:八浜の現場で退却支援を担う範囲。;A:23:八浜七本槍による追撃阻止の集団戦果を評価。;N:12:小森三郎右衛門について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小森三郎右衛門について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小森三郎右衛門について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
粟井正晴||八浜七本槍の三郎兵衛として挙がる人物。八浜での防戦を評価し、参照していない後半生の任務は補わない。|P:20:八浜での部隊支援を限定的に評価。;A:23:追撃阻止を担った七本槍の集団戦果への寄与。;N:12:粟井正晴について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:粟井正晴について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:粟井正晴について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
蔵田五郎左衛門||蔵田家当主が襲名した名で少なくとも三人がいる。今回は謙信期の留守居担当の記述を中心とし、為景期からの青苧交易・外交を一人分に合算しない。|P:20:謙信の関東在陣・川中島出兵中の留守居を標準遂行とする。;N:12:蔵田五郎左衛門について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:蔵田五郎左衛門について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:留守居としての城内実務を評価し、別代の財政功績は留保。;N:12:蔵田五郎左衛門について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
三好長之||阿波守護代として細川成之に従い応仁の乱で東軍に参加。徳政一揆への関与は嫌疑であり、確定した策略として加点しない。|P:23:阿波守護代として軍勢を伴う畿内出陣の責任を評価。;P:22:応仁の乱の参戦を主要戦域での標準遂行とする。;N:12:三好長之について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:22:阿波の守護代としての行政責任を評価。;N:12:三好長之について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
下曾根出羽守||武田信虎側の都塚・今諏訪で大将を務めたとされる。実名の同定には留保があり、1540年の供養以前に死去していた可能性を記す。|A:23:複数の戦場で大将を担った軍事運用。;A:24:都塚・今諏訪での勝利への指揮上の寄与。;N:12:下曾根出羽守について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:下曾根出羽守について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:下曾根出羽守について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
杉隆宣||大内義隆の命で小早川興景の軍監として安芸に出陣し、1543年出雲で戦死。遠征全体の敗北をこの軍監一人の失策としない。|P:22:安芸・出雲戦域の軍監として部隊調整を担う。;P:21:尼子方との戦いへの参加を標準的な軍役遂行とする。;N:12:杉隆宣について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:周防の知行地管理を担った範囲を評価。;N:12:杉隆宣について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
己斐宗瑞||大内方から安芸武田氏に降り重臣となり、有田中井手で戦死。降伏後の活動を記すが主君の乗換えを人望の高低に直結させない。|P:21:己斐城と武田方軍勢で守将として活動。;P:21:有田中井手での戦闘参加を評価し部隊全体の敗北を個人失策と断定しない。;N:12:己斐宗瑞について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:己斐城主としての拠点管理を標準遂行とする。;N:12:己斐宗瑞について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
長屋吉親||1532年の毛利家臣団連署に加わり、1544年布野で援軍に参加して戦死。主将の判断や軍全体の敗北をそのまま個人能力へ転換しない。|P:20:布野の援軍に加わる在地部隊の運用を評価。;P:21:備後戦域の援軍任務を標準遂行とする。;P:18:毛利家中の利害調整を求める連署への参加。;N:12:長屋吉親について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:長屋吉親について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
松平信康 (源次郎)||松平清康の子で広忠の弟とされる源次郎。家康の嫡男の信康とは別人。1540年の安祥救援で戦死した活動のみを採る。|P:19:安祥への援軍を担った範囲を限定評価。;P:20:救援戦への参加を標準遂行とし若年と戦死だけで低評価にしない。;N:12:松平信康 (源次郎)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平信康 (源次郎)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平信康 (源次郎)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
柳生清厳||1615年生とされる尾張柳生家の人物。新陰流の技量を部隊戦果へ転用せず、島原での従軍と小姓勤務を評価。1546年には未誕生の人物である。|N:12:柳生清厳について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;P:20:島原の乱への従軍を評価し、個人の槍技を軍団戦果と同一視しない。;N:12:柳生清厳について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:16:尾張藩主の小姓勤務を近侍実務として限定的に評価。;N:12:柳生清厳について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
松平乗次 (滝脇松平家)||滝脇家の当主。伏見城番、関ヶ原への従軍、滝脇の知行を参照。同名の他家の当主と区別する。|P:20:伏見城番を担った守備運用を標準遂行とする。;P:21:関ヶ原への従軍を主要戦域の軍役として評価。;N:12:松平乗次 (滝脇松平家)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:18:滝脇の知行管理を担う範囲。;N:12:松平乗次 (滝脇松平家)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
中村可近||桂林寺の墓碑紹介では大西城番中村家の二代目として扱われる。初代重勝の大坂での戦死・軍功を引き継いで加点しない。地域史紹介に依存する暫定評価。|P:19:大西城番の守備任務を担った範囲で評価。;N:12:中村可近について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:中村可近について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:城番としての拠点実務を標準遂行とする。;N:12:中村可近について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
津田正時||津田図書館の城跡調査案内を参照するが、津田城主の系譜・伝承には検証問題がある。主水と正時の同定を含め、城の沿革を本人の確実な成否に換算するのは保留。|N:12:津田正時について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:津田正時について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:津田正時について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:津田正時について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:津田正時について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
脇坂左兵衛||国史編纂委員会の資料では脇坂隊の副将として渡辺七右衛門と守備兵を分担したとされる。映画の間者像や架空の会話は採用しない。|P:21:朝鮮での通路守備を分担する副将の役割。;P:21:朝鮮戦域の守備任務を標準遂行とする。;N:12:脇坂左兵衛について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:脇坂左兵衛について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:脇坂左兵衛について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
渡辺七右衛門||脇坂隊で左兵衛とともに兵を分担した守備任務を参照。近世の同名人物を混同せず、海戦全体の失敗を本人の判断ミスと断定しない。|P:21:分遣守備兵を預かる現場運用を評価。;P:21:朝鮮での軍役を重要戦域での標準遂行とする。;N:12:渡辺七右衛門について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:渡辺七右衛門について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:渡辺七右衛門について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
成沢道忠||成沢城の守衛などの伝承があるが、親子数代の事績が一人に集積した可能性が指摘される。守備役の記述だけを限定採用し、五千騎指揮や後継者工作を合算しない。|P:18:成沢城の守衛とする伝承の範囲だけを限定評価。;N:12:成沢道忠について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:成沢道忠について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:成沢道忠について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:成沢道忠について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
萱場元時||源兵衛元時は親子二代の名。今回は父の人取橋での軍功を対象にし、子の鉄砲技術や山形城接収を合算しない。父子同定は引き続き照合対象。|P:20:人取橋で伊達成実に従う部隊の運用を限定評価。;A:22:父の人取橋での戦功を暫定採用。;N:12:萱場元時について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:萱場元時について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:萱場元時について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大島光朝||父光義を補佐した軍事・内政・外交を参照。大坂以後の池田家仕官について伝記内の年代整合に疑義があるため、後半の家老実績は採らない。|P:20:父の部隊に従う軍務を標準遂行とする。;P:20:父を支えた戦役参加の範囲を評価。;P:19:父の外交補佐を成果未詳の実務参加として評価。;P:20:父の内政補佐と分知地管理を標準遂行とする。;N:12:大島光朝について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
村上吉直||因島村上文書に大内高弘からの海上警固協力要請が残る。依頼された事実と実際の出動・戦果を区別し、要請だけで戦功を加えない。|N:12:村上吉直について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:村上吉直について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:村上吉直について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:村上吉直について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:村上吉直について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
今泉盛高||小薬城への配置と猿山での従軍、長泉寺建立を参照。宇都宮成綱の政策や勝利を本人に転用しない。1523年没。|P:21:小山方への備えとして小薬城を守る任務。;P:21:猿山での従軍を標準遂行とし軍全体の敗北を個人失策と断定しない。;N:12:今泉盛高について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:22:城主の地域運営に加え菩提寺建立の実績を評価。;N:12:今泉盛高について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
今泉盛泰||上三川城主となり、宇都宮正綱に従って上野に出陣、1477年に戦死。幼少時の補佐役の実績と区別する。|P:21:上野への援軍を担った領主の部隊運用。;P:21:川曲での参戦を標準遂行とする。;N:12:今泉盛泰について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:成人後の上三川城主としての運営を評価。;N:12:今泉盛泰について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
