# 名前|所属家ID（不明は-）|ゲーム立場|父所属が不明の場合の配置地域|実父の照合名|個別判断
北郷忠虎|-|元服前|日向国/北諸県郡|北郷時久|実父北郷時久と都城の家の地縁を照合。人物紹介の1556年出生と元台帳の1594年表記に差があり要修正として記録。どちらでも1546年には未誕生。
原田宗時|-|元服前|羽前国/東置賜郡|山嶺安長|実父山嶺安長を照合し、養父原田宗政とは区別。上小松の後年の原田氏の本拠を代替地域に用いる。
原田宗資|-|元服前|岩代国/伊達郡|桑折宗長|実父を桑折宗長とする記事を採用。景長を父とする系図との年代矛盾は保留。桑折氏の本拠圏を代替に用いる。
吉川広家|-|元服前|安芸国/山縣郡|吉川元春|実父吉川元春を照合。安芸の家の本拠を代替とし、後年の岩国領有を遡及しない。
吉田長利|-|元服前|播磨国/飾東郡|八代道慶|実父八代道慶を照合し、養父吉田重生と区別。八代の地縁を代替配置に用いる。
土井利勝|-|元服前|三河国/碧海郡|父未確定（諸説）|実父には水野信元・土井利昌など諸説があるため父所属の自動継承を行わない。水野氏の刈谷の地縁を代替配置に採用し、出生地確定とはしない。
堀尾忠晴|-|元服前|遠江国/敷智郡|堀尾忠氏|実父堀尾忠氏を照合。浜松の当時の家の本拠を代替に用いる。
堀尾忠氏|-|元服前|尾張国/丹羽郡|堀尾吉晴|実父堀尾吉晴を照合。父の出自である尾張の地縁を代替とする。出生年1577・1578年の表記差は今回変更しない。
堀直之|-|元服前|越前国/足羽郡|堀直政|実父堀直政を照合。北庄出生の地縁を代替配置に用いる。
堀直寄|-|元服前|尾張国/中島郡|堀直政|実父堀直政を照合。父の奥田の出自を代替とし、本人の出生郡とは断定しない。
堀直政|-|元服前|尾張国/中島郡|奥田直純|実父奥田直純を照合。奥田庄の出自を代替に用いる。
堀秀政|-|元服前|美濃国/厚見郡|堀秀重|実父堀秀重を照合。茜部の出生地縁を代替配置に用いる。
塙直之|-|元服前|尾張国/*|父未確定（諸説）|出自には尾張・上総など複数説があり父も確定しない。尾張説をゲーム用の代替地域として選び、史実上の出生郡の確定とはしない。
大久保忠教|-|元服前|三河国/額田郡|大久保忠員|実父大久保忠員を照合。上和田の出生地縁を代替に用いる。
大久保忠為|-|元服前|三河国/額田郡|大久保忠員|大久保忠員の六男という記事を照合。上和田の家の本拠を代替とし、後年の大垣配属は遡及しない。
大久保忠隣|-|元服前|三河国/額田郡|大久保忠世|実父大久保忠世を照合。上和田の出生地縁を代替に用いる。
大久保教隆|-|元服前|三河国/額田郡|大久保忠隣|実父大久保忠隣を照合。父の上和田の地縁を代替とし、本人の出生郡とは断定しない。
大友義統|-|元服前|豊後国/大分郡|大友宗麟|実父大友宗麟を照合。豊後府内の家の本拠を代替とし、後年の家督相続を遡及しない。
大国実頼|-|元服前|越後国/南魚沼郡|樋口兼豊|実父樋口兼豊を照合し、養父小国重頼と区別。坂戸周辺の家の地縁を代替に用いる。
大村喜前|-|元服前|肥前国/東彼杵郡|大村純忠|実父大村純忠を照合。大村の本拠圏を代替とする。
大谷吉継|-|元服前|近江国/*|父未確定（諸説）|父を吉房・盛治とする説などがあるため父所属は継承しない。近江の出自説を仮配置の代用に採用。1559年・1565年など生年の異説は保持。
大野治長|-|元服前|美濃国/羽栗郡|大野定長|実父大野定長を照合。大野の家の出自を代替配置に用いる。現在の郡区画への対応はゲーム地図基準。
奥平信昌|-|元服前|三河国/南設楽郡|奥平貞能|実父奥平貞能を照合。作手の出生地縁を代替とし、後年の徳川家臣化を遡及しない。
奥平家昌|-|元服前|三河国/南設楽郡|奥平信昌|実父奥平信昌を照合。作手の家の地縁を代替とし、本人の出生郡とは断定しない。
奥平忠政|-|元服前|三河国/南設楽郡|奥平信昌|実父奥平信昌を照合。父の作手の地縁を代替配置に用いる。
安田能元|-|元服前|越後国/刈羽郡|安田景元|実父安田景元を照合。越後安田の地縁を採用し、他系統の安田氏と区別。
安藤重信|-|元服前|三河国/*|安藤基能|実父安藤基能を照合。三河の家の出自を代替に用いる。
宮本武蔵|-|元服前|播磨国/佐用郡|父未確定（諸説）|実父・養父や出生地には異説があるため新免無二などから所属を自動継承しない。播磨出自説と平福の地縁を代替配置に採用。
小山田茂誠|-|元服前|甲斐国/都留郡周辺（仮1）|小山田有誠|実父小山田有誠を照合。郡内小山田氏の地縁から都留郡周辺の仮区画を代替配置に用い、確定した史実郡とはしない。
小早川秀秋|-|元服前|近江国/坂田郡|木下家定|実父木下家定を照合し、養父小早川隆景と区別。長浜での幼少期の地縁を代替配置に用いる。
小笠原忠真|-|元服前|下総国/西葛飾郡|小笠原秀政|実父小笠原秀政を照合。古河出生の地縁を代替配置に用いる。父が登録されていても所属不明なら不明を維持。
小笠原忠知|-|元服前|信濃国/東筑摩郡|小笠原秀政|実父小笠原秀政を照合。後年の松本の家の本拠を代替とし、本人の出生郡とは断定しない。
小西行長|-|元服前|山城国/*|小西隆佐|実父小西隆佐を照合。京都出生の記事を代替配置に用い、後年の肥後領有を遡及しない。
尼子勝久|-|元服前|出雲国/能義郡|尼子誠久|実父尼子誠久を照合。月山富田周辺の家の本拠を代替とし、後年の尼子再興時の当主身分を遡及しない。
屋代景頼|-|元服前|羽前国/東置賜郡|屋代修理|父屋代修理の表記を照合。屋代の出自を代替に用いる。同名の家系情報だけでは既存人物に結び付けない。
山内忠義|-|元服前|遠江国/佐野郡|山内康豊|実父山内康豊を照合し、養父山内一豊と区別。掛川の出生地縁を代替に用いる。
山岡景以|-|元服前|近江国/栗太郡|山岡景隆|実父山岡景隆を照合。瀬田の家の本拠を代替配置に用いる。
山田有栄|-|元服前|日向国/児湯郡|山田有信|実父山田有信を照合。高城をめぐる後年の家の活動圏を代替とし、1546年の居住地とはしない。
島津家久|-|元服前|薩摩国/阿多郡|島津貴久|実父島津貴久を照合。伊作の家の地縁を代替に用い、同名を用いた忠恒とは別人として扱う。
島津忠恒|-|元服前|薩摩国/*|島津義弘|実父島津義弘を照合。薩摩の家の本拠圏を代替に用い、後年の改名・家督を遡及しない。
島津忠長|-|元服前|薩摩国/*|島津尚久|実父島津尚久を照合。薩摩の家の本拠を代替配置に用いる。
島津豊久|-|元服前|薩摩国/*|島津家久|実父島津家久の今回の判定を照合。後年の佐土原領有を開始時に遡及せず、父所属不明時は薩摩の家の地縁を代替とする。
