# 人物|所属家IDまたは-|立場|推定地域|登録父照合名または-|判断根拠・留保
柴崎敦英|-|浪人|武蔵国/北埼玉郡|-|忍城長野口を守った後年の記録を地域の代替根拠とする。成田家への奉公開始と1546年の年齢は保留。
柴田勝義|-|浪人|尾張国/愛知郡|-|下社の柴田氏系譜を地縁として暫定採用。勝家の父とする系譜の信憑性に疑義があり、同定・当年の所属は保留。
柿崎晴家|-|浪人|越後国/中頸城郡|-|柿崎景家の子・後年の柿崎家当主という記載を地縁に使用。元服年・1546年の奉公は未詳で、父の所属を成人へ自動継承しない。
根津月直|-|浪人|信濃国/小県郡|-|禰津常安の長男・1575年戦死の記載から禰津周辺へ配置。当年の年齢・所属は未確認で、後年の武田奉公は遡及しない。
桜庭光康|nanbu|武将|陸奥国/*|-|南部安信の代に活動した南部家臣という記述を根拠に、1546年も南部家中と暫定設定。細かな奉公年月は未確定。
榊原清政|-|元服前|三河国/碧海郡|榊原長政|1546年生の登録と榊原氏の三河の地縁を使用。父が人物表に登録され所属が既知の場合だけ同じ家とする。
樋口雅兼|-|浪人|伯耆国/*|-|伯耆海池村出身という記載を採用するが現行郡との対応は未確定で国内へ代替配置。1577年頃の秀吉奉公は遡及しない。
横山盛資|-|浪人|備後国/安那郡|-|神辺城・小森館の地縁を採用。1548年の横山氏の活動は本人との対応と記事の和暦に留保があり、杉原家への後年奉公を遡及しない。
正木利英|-|浪人|武蔵国/北埼玉郡|-|栢間の知行と忍城守備の記録を地域根拠に使用。1574年以降の成田家臣という記録から当年所属を補わない。
武田勝頼|-|元服前|甲斐国/*|武田信玄|1546年生の信玄の子として登録父の所属を継承。出生地には留保を残し、配置は父の本拠圏内のゲーム設定。出生年の出仕は不可。
母里小兵衛|-|浪人|播磨国/飾東郡|-|黒田職隆との関係と播磨の軍記記述を代替配置に使用。父子の戦死時期に記述差があり、1546年の奉公先は不明。
母里武兵衛|-|浪人|播磨国/飾東郡|-|1569年の青山・土器山合戦に関する記述から姫路方面を代用。当年の年齢・仕官先は未確定。
毛利良勝|-|浪人|尾張国/*|-|尾張出身という記載を採用。1560年桶狭間の功績を1546年の織田家奉公に遡及せず、安芸毛利家とも区別する。
毛受茂左衛門|-|浪人|尾張国/東春日井郡|-|稲葉村の毛受照昌の子という地縁を採用。柴田勝家への後年奉公から1546年所属は確定しない。
氏家行広|-|元服前|美濃国/安八郡|氏家直元|1546年生で氏家直元の子という記載を採用し、登録父の斎藤家所属を継承。出生年の出仕は不可。
水原満家|-|浪人|越後国/北蒲原郡|-|水原氏の地縁を使用。1520年の当主交代から本人までの系譜が不明で、1546年の当主・上杉家臣とは認定しない。
水原親憲|-|元服前|越後国/南魚沼郡|大関親信|1546年生で浦佐城主大関親信の子という紹介を採用。父が登録され所属既知の場合だけ継承。水原姓の後年の継承は出生時に遡らせない。
江戸直定|-|浪人|三河国/額田郡|-|岡崎町奉行として登場する1570年以降の活動圏を代用。当年の奉公先は不明で、江戸という姓から武蔵に配置しない。
池内真武|-|浪人|土佐国/香美郡|-|池内氏が香宗郷へ移ったという地縁を採用。1569年の香宗我部家での活動を1546年の奉公へ遡及しない。
沢井元政|-|浪人|近江国/坂田郡|-|土岐氏没落後に今浜へ逃れ、のち信秀に招かれた経歴を採用。記事の和暦・西暦に不整合があり招聘年は未確定のため、逃避先を暫定配置に使用。
河原定勝|-|浪人|山城国/*|-|後年の京都での竹奉行の活動を代替地域に使用。当年の所在根拠は弱く、秀吉への奉公を1546年に遡らせない。
泉山古康|-|浪人|陸奥国/三戸郡|-|三戸郷泉山の領地・石亀氏からの養子という地縁を採用。信直・利直体制の家老職を1546年の立場には使わない。
海野幸貞|-|元服前|上野国/吾妻郡|海野輝幸|1544年に海野輝幸の子として生まれた記述を採用。塔原海野氏の同名人物とは分け、登録父の所属だけを継承対象とする。
深水長智|-|浪人|肥後国/球摩郡|-|相良晴広以降に仕えた深水氏の本拠圏を暫定配置に使用。1546年の本人の奉公時期・元服を確定できないため所属不明。
深谷吉次|-|浪人|武蔵国/榛沢郡|-|深谷上杉憲盛の次男という系譜から深谷方面へ配置。年齢・1546年の地位は未詳で、後年の家督や奉公は遡及しない。
清水九郎兵衛|-|浪人|美濃国/加茂郡|-|加治田出身という記載を採用。佐藤忠能・斎藤利治らへの奉公は当年の開始記録がなく所属不明とする。
渡辺氏綱|matsudaira|武将|三河国/*|-|1529年下地合戦と清康・広忠への歴仕、1563年没という記述を根拠に1546年の松平家武将を設定。
渡辺義綱|matsudaira|武将|三河国/*|-|1540年安城合戦と1556年酒井忠次配下の活動から、1546年も松平家中と推定。個々の奉公年月は暫定。
片切昌為|-|浪人|信濃国/上伊那郡|-|伊那の片切氏・春近衆の地縁を採用。1556年の武田家同心編成より前の1546年の従属先は保留。
片岡直季|-|元服前|土佐国/高岡郡|-|1559年に16歳という記述から1544年生を採用。父の実名に異説があるため未確定な父から所属を継承せず、高吾北へ推定配置。
牧長義|oda_nobuhide|武将|尾張国/*|-|信秀への奉公と1548年の前津小林築城を根拠に信秀系の武将と暫定設定。子の婚姻年は1546年に固定しない。
狭間鎮秀|-|浪人|豊後国/大分郡|-|狭間氏の本拠圏を配置に使用。天正年間の宗麟への奉公や偏諱は1546年に遡及せず、年齢も保留。
生駒家宗|-|浪人|尾張国/丹羽郡|-|小折の生駒氏という地縁を採用。馬借・商業活動と信長家中との関係を区別し、1546年の正式な奉公先は不明とする。
田中新右衛門|-|浪人|土佐国/長岡郡|-|八流合戦での長宗我部勢としての活動から岡豊本拠圏を代用。当年の奉公・年齢は確認できない。
畑山元氏|-|浪人|土佐国/安芸郡|-|畑山館主元明の子という地縁を採用。安芸家滅亡後の活動は明らかだが1546年の所属は保留。
番場殿|-|浪人|美濃国/*|-|土岐頼芸の娘という系譜を出生地域の手掛かりに使用。出生年・婚姻・当年の身分は未詳で、指定5区分では未所属の浪人に整理。
白石宗実|-|元服前|磐城国/刈田郡|白石宗利|1545年生説をゲーム上採用するが1553年生説も併記し、当年の在世は保留。登録父の所属既知の場合だけ継承する。
真野助宗|-|浪人|近江国/滋賀郡|-|近江真野氏出身とする推測を地域配置に使用。1573年の秀吉家中の扶持記録は1546年所属に遡らせない。
矢野五右衛門|-|浪人|美濃国/池田郡|-|白樫村の郷士という伝承を現行郡へ暫定対応。当年の年齢・身分は未詳で、1600年の落武者遭遇譚を所属の根拠にしない。
知久頼氏|-|浪人|信濃国/下伊那郡|-|伊那伴野荘の知久氏という地縁を使用。1554年の父敗死後の動向から当年の本人の役職・奉公先は確定しない。
石川勝重|-|浪人|伊予国/新居郡|-|金子文書の元亀以降とみられる記録を高峠城方面の配置根拠に使用。通昌との父子関係・1546年の家督保持は未確定。
石川正信|matsudaira|武将|三河国/*|-|木戸村出身で松平広忠に仕えたという記載から1546年も松平家と暫定設定。奉公開始年そのものは未詳。
石川義房|-|浪人|遠江国/敷智郡|-|1579年の築山殿に関する記録から浜松方面を代用。逸話には留保があり、当年の徳川家臣とは認定しない。
石川通昌|-|浪人|伊予国/新居郡|-|1551年の高峠城主という文書上の記載を配置根拠に使用。1546年の家督・従属先は未詳で当主に遡及設定しない。
石谷対馬守|saito|武将|美濃国/*|-|土岐氏追放後に道三に仕え、1556年に道三方で戦ったという経歴から1546年も斎藤家と暫定設定。同名・実名の同定は留保。
福住順弘|-|浪人|大和国/山辺郡|-|福住郷の地縁を採用。筒井順興の子という後世系譜や福住宗職との継承時期には留保があり、当年の所属は確定しない。
福島正信|-|浪人|尾張国/海東郡|-|1525年生・海東郡で桶屋をしていたという紹介を採用。当年の職業は確定せず、指定5区分では未所属の浪人。秀吉奉公は遡及しない。
稲葉重通|-|浪人|美濃国/*|-|稲葉良通の子という系譜から美濃を代替配置。信長・秀吉の馬廻としての後年の記録では1546年所属は定まらない。
笠井満秀|-|浪人|甲斐国/*|-|甲斐南部氏から笠井・河西姓へ改めたという伝承を地縁に使用。父追放の時期や1575年の身代わり伝承を当年所属の確定根拠にしない。
簗田詮泰|-|浪人|陸中国/紫波郡|-|高水寺斯波氏から南部氏へ転じたという後年の活動圏を代用。尾張の簗田氏と同姓で結び付けず当年所属は保留。
細川政清|-|浪人|紀伊国/有田郡|-|畠山氏との縁と石垣領主の地縁を採用。実父・養父の記載が相違し、1565年の和泉守護としての活動を当年へ遡及しない。
織田信直|-|元服前|尾張国/西春日井郡|織田信張|1574年29歳没から1546年生を採用。藤左衛門家出身を注記しつつ、ユーザー指定により登録父信張の現行所属を継承。家中分立の史実を確定した判断ではない。
羽田正親|-|浪人|近江国/蒲生郡|-|上羽田村出身の記載を採用。秀長への奉公・後年の大和知行から1546年所属を補わない。
菅沼元景|-|浪人|遠江国/引佐郡|-|都田菅沼家の地縁を採用。長篠菅沼氏から井伊直親への転仕時期が未詳で当年の家中は不明。
菅沼定直|-|浪人|三河国/北設楽郡|-|田峯菅沼氏の地縁を使用。1555年の内紛で今川方だったことを1546年の奉公先に遡及せず所属不明。
菅沼定重|-|浪人|遠江国/引佐郡|-|都田菅沼家元景の子という系譜を採用。年齢・奉公年が定まらず父や兄の所属を自動継承しない。
菅沼定顕|-|浪人|三河国/額田郡|-|佐崎での1563年一向一揆に関する記述を代替配置に使用。記事の史実性にも留保があり、1546年の松平家臣とは認定しない。
菅沼満直|-|浪人|三河国/南設楽郡|-|長篠菅沼俊則の次男という系譜と長篠の地縁を使用。三河の従属先の変転から当年の家中は確定しない。
菅沼貞俊|-|浪人|三河国/南設楽郡|-|長篠菅沼俊則の三男という系譜を地域推定に使用。1546年の年齢・本人の主従関係は保留。
菅沼貞吉|-|浪人|三河国/南設楽郡|-|長篠菅沼元成の三男という系譜から配置。家譜の世代関係と1546年の在世には留保を残す。
萱場元時|-|浪人|岩代国/伊達郡|-|徳江・上長井の拝領地を地域推定に使用。同名父子の記述が混在するため、1546年の同定・伊達家奉公は保留。
落合業親|utsunomiya|大名家一門|下野国/*|-|宇都宮成綱の子として落合氏に入り家中に組み込まれた経歴を根拠に、宇都宮家一門と暫定設定。在世年代は別途保留。
蒔田政勝|-|浪人|尾張国/丹羽郡|-|尾張織津出身の父広光という地縁を暫定採用。1588年の秀吉側近としての活動から当年所属は補わない。
蒲生頼郷|-|浪人|近江国/蒲生郡|-|日野横山村出身の横山喜内としての地縁を採用。六角・蒲生家への奉公開始年が未詳で1546年所属は不明。
蔵田五郎左衛門|nagao|武将|越後国/*|-|長尾為景に御用商人として仕え、後年も経済・留守居に従事した経歴を採用。指定5区分では奉公者の武将とし、軍人だけを意味しない。
蜂須賀又十郎|-|浪人|尾張国/海東郡|-|稲垣村の台蔵院へ養子入りしたという家記の地縁を使用。1566年墨俣の記述を当年の秀吉奉公や在世の証明にしない。
赤松凝淵斉|-|浪人|常陸国/新治郡|-|手子生・和取城主の伝承と小田方の活動圏を配置に使用。同定と1546年の主従関係は未確定。
近藤幸正|matsudaira|武将|三河国/*|-|1530年宇利城攻めで清康方に属した記録から松平家を暫定設定。1546年までの奉公継続・在世は確定せず年代保留。
遠山康光|-|浪人|相模国/大住郡|-|小田原衆として中郡に知行を持つ後年の記録を地域に使用。綱景の弟とする通説にも疑義があり、当年の奉公・系譜は確定しない。
遠山秋忠|-|浪人|尾張国/*|-|1560年桶狭間での活動を代替地域に使用。遠山姓から特定の美濃領主家へ結び付けず、当年の奉公は不明。
遠山隼人佐|-|浪人|武蔵国/豊島郡|-|綱景の子で後年江戸衆に関係する地縁を使用。史料初見1552年以前の年齢・奉公は未詳で、当年所属は保留。
遠藤盛数|-|浪人|美濃国/郡上郡|-|1540年に兄胤縁と東常慶に協力した記述と郡上の本拠を採用。後年の独立当主の地位を1546年へ遡及せず、家中ID未確定のため浪人区分。
酒井信政|-|元服前|丹波国/多紀郡|-|郷土研究の1537年生説を暫定採用し元服前とする。栗栖野酒井氏の地縁で配置し、三河酒井氏とは区別する。
里見民部|-|浪人|羽前国/南村山郡|-|上山家臣里見義近の子という地縁を採用。安房里見家と混同せず、1574年の交渉活動を当年所属へ遡及しない。
野上房忠|ouchi|武将|周防国/*|-|陶興房・隆房父子に仕え小守護代を務めた経歴を採用。1546年は大内家の陶氏被官として整理し、1551年以降の独立勢力扱いを遡及しない。
金丸昌直|-|元服前|甲斐国/*|金丸虎義|甲斐国志に基づく1540年生説を暫定採用。兄弟や子の世代に疑義を残し、登録父の所属が判明する場合だけ継承。
金子泰清|-|浪人|上野国/利根郡|-|もとは追貝村の名主という記録を採用。永禄年間の沼田家への登用前として所属不明、指定5区分では浪人とする。
鈴木孫六|-|浪人|紀伊国/海部郡|-|雑賀衆の後世伝承を地縁の代用に使用。良質の史料で確認困難との研究上の指摘を留保し、当年所属・同定は未確定。
鈴木重意|-|浪人|紀伊国/海部郡|-|畠山家譜の雑賀衆の記事を地域推定に使用。1560年以降の軍記上の活動を当年の所属・実在確定には使わない。
鈴木重秀|-|浪人|紀伊国/海部郡|-|本願寺文書で実名が確認される雑賀の人物として配置。孫一名義の別登録と事績を混同せず、1546年の年齢・統率者の地位は保留。
長谷川重成|-|浪人|美濃国/厚見郡|-|美濃長森の旧領記録を地域に使用。斎藤龍興・信長らへの後年の奉公から1546年所属は補わない。
長連龍|-|元服前|能登国/鹿島郡|長続連|1546年8月出生の記載を採用。登録父続連の所属が既知の場合のみ継承し、出生年内の前後・出仕は保留。
門田康澄|-|元服前|紀伊国/那賀郡|-|1594年58歳没という紹介から1537年頃生と推定し元服前。根来衆出身の地縁を使い、天正年間の長宗我部奉公は遡及しない。
雫石久詮|-|浪人|陸中国/南岩手郡|-|雫石御所の地縁を配置に使用。詮貞の子か孫か不明で、後年の南部家への召し出しを当年所属にしない。
雲林院松軒|-|浪人|伊勢国/安濃郡|-|雲林院城・長野工藤氏の地縁を採用。1554年の兵法伝授以後の記録から1546年の家中・城主地位は確定しない。
鳥居忠宗|matsudaira|武将|三河国/*|-|広忠に仕え1547年に信孝方と戦って討死した記述から1546年も松平家武将と暫定設定。
黒田孝高|-|元服前|播磨国/飾東郡|黒田職隆|1546年11月に職隆の子として姫路で生まれた記載を採用。登録父の小寺家所属を継承し、出生年の出仕は不可。
