# 人物|所属家IDまたは-|立場|推定地域|登録父照合名または-|根拠と留保
前野嘉兵次|-|浪人|尾張国/丹羽郡|-|尾張土豪前野正吉の子という地縁を採用。前野長康への後年の奉公を1546年に当てはめない。
前野時之|-|浪人|美濃国/山県郡|-|美濃大桑の前野山内氏出身という記載から生家方面を推定配置。養子入り・1570年の軍功は当年の所属確定には使わない。
前野泰道|-|浪人|尾張国/丹羽郡|-|尾張前野氏と1564年の鵜沼周辺の記述を手掛かりに配置。武功夜話に依拠する伝承を含み、出生・1546年所属は保留。
前野為定|-|浪人|美濃国/羽栗郡|-|松倉の坪内氏との系譜・婚姻を地域推定に使用。父の異説と犬山織田氏への奉公時期を留保し、信秀系には統合しない。
前野義康|-|浪人|尾張国/丹羽郡|-|1530年生説と尾張前野氏の地縁を採用。1546年の仕官記録がないため浪人とし、後年の信雄への奉公は遡及しない。
前野長宗|-|浪人|尾張国/丹羽郡|-|下津前野氏の出自と伊勢守系織田氏への奉公を確認したが開始年が未詳。岩倉系・信秀系を混同せず、1546年所属は不明とする。
加藤弥三郎|-|浪人|尾張国/愛知郡|-|熱田の加藤順盛の子という地縁を使用。信長小姓・赤母衣衆の後年の記録では1546年の所属を証明できない。
勝重久|matsudaira|武将|三河国/*|-|松平広忠と家康の二代に仕えた経歴から1546年も広忠家中と推定。奉公開始年の直接記録は未確認のため暫定扱い。
千徳政武|-|浪人|陸奥国/南津軽郡|-|後年の田舎館城主としての記録を南津軽郡の代替配置根拠に使う。家督継承時期が定まらず、1546年の大名・家臣身分は認定しない。
千種忠治|-|浪人|伊勢国/三重郡|-|1555年の千種城防衛と養子縁組の記載から千種方面へ推定配置。当年の家督保持を確認できないため所属不明の浪人に整理。
南条信正|-|浪人|伯耆国/河村郡|-|南条宗勝の弟で羽衣石周辺に関係する系譜を採用。1546年の家中区分・主従関係が不確かなため所属は不明のまま本拠圏へ配置。
古川済堯|-|浪人|飛騨国/吉城郡|-|飛騨古川姉小路氏と後年の叙爵を地縁の根拠とする。公家としての身分は注記に残し、指定5区分では未所属の浪人とする。
吉弘鎮信|-|元服前|豊後国/*|吉弘鑑理|1540年生説を採用し、吉弘鑑理の子として父を照合。父が人物表に未登録または所属不明なら、大友家へ自動補完しない。
吉田弥三|-|浪人|美濃国/加茂郡|-|1565年の加治田城・佐藤忠能家臣としての記録から加茂郡を代用。1546年の所属家は不明。
和仁親宗|-|浪人|肥後国/玉名郡|-|和仁氏の田中城の地縁から配置。1587年の合戦や出生を巡る伝説だけでは1546年の年齢・奉公先は定まらず保留。
和賀義忠|-|浪人|陸中国/東和賀郡|-|和賀氏・二子城の後年の地縁から現行の東和賀郡へ代替配置。家督取得時期と1546年の居住を確定した扱いにはしない。
喜多村政信|-|浪人|摂津国/西成郡|-|父秀政が退いた摂津野里村の地縁を採用。松永久秀を烏帽子親とする元服時期が確定しないため所属不明。
土居清良|-|元服前|伊予国/北宇和郡|土居清晴|1546年生で三間の土居氏出身という記載を採用。父清晴の登録所属のみ継承対象とし、出生年内の登場・出仕は保留。
坪内勝長|-|浪人|尾張国/丹羽郡|-|前野宗康の子としての系譜と尾張前野方面を採用。小豆坂合戦の回次や奉公先の系統を確定できず、信秀系への自動所属は行わない。
坪内昌家|-|浪人|尾張国/中島郡|-|野府城の記述と1547年に関係する家譜を地縁として採用。築城年代からみた世代・人物同定に留保があり、1546年在世を確定しない。
堀内俊胤|-|浪人|磐城国/行方郡|-|相馬氏一門の堀内氏と1569年の戦死記録を配置の手掛かりにする。1546年の本人の役職・所属は確定せず、相馬本拠圏を代用。
堀無手右衛門|-|浪人|三河国/*|-|三河の牢人だったという経歴を採用し、武田・一条信龍への後年の奉公は1546年に遡及しない。具体的な郡は国の範囲内の代替設定。
大塚与三衛門|-|浪人|出雲国/能義郡|-|1566年の尼子家中に関する記述から月山富田城方面を代用。本人の1546年の出生・奉公は未確認。
大塚八木右衛門|-|浪人|土佐国/幡多郡|-|土佐一条氏の下長谷城と1574年の動向を地域の手掛かりにする。1546年の奉公先は不明として扱う。
大山伯耆|-|浪人|河内国/若江郡|-|後年の若江八人衆という活動圏を代替配置に使用。伯耆という官途から国を推定しない。秀長・三成への奉公を当年へ遡及しない。
大川忠秀|-|浪人|越後国/岩舩郡|-|府屋の大川城と1561年の戦死記録を地縁の根拠とする。本庄氏配下としての活動を1546年まで遡らせる資料は未確認。
大沢次郎左衛門|-|浪人|美濃国/各務郡|-|鵜沼城と斎藤道三の娘との婚姻に関する記録を地縁として使用。婚姻・仕官年未詳なので1546年の斎藤家所属は確定しない。
大河内秀綱|-|元服前|三河国/幡豆郡|大河内政綱|1546年生の登録と三河吉良氏に関係する初期経歴から暫定配置。父の登録所属のみ継承対象。出生年内の出仕は不可。
大石良信|-|浪人|近江国/栗太郡|-|大石氏の近江大石方面の地縁を代替配置に使用。後年の秀次への奉公は当年所属にしない。
大西頼包|-|浪人|阿波国/三好郡|-|白地の大西氏と後年の長宗我部氏への人質関係を地縁として採用。1546年の年齢・主従関係は保留。
大野直昌|-|浪人|伊予国/上浮穴郡|-|大野利直の子で久万・小田を本拠とする一族という情報を採用。兄の死後の家督相続年を確定できず河野家の役職を当年へ遡及しない。
天野元景|imagawa|武将|遠江国/周智郡|-|1543年2月に今川義元から偏諱を受けた記録を根拠に今川家武将とする。父景泰との1563年離反より前の家中を採用。
天野雄光|-|浪人|伊勢国/桑名郡|-|後年の長島城番・織田信雄家臣という活動圏を代替配置に使う。1546年の奉公先や年齢は未確定で所属不明を維持。
奥山盛昭|-|浪人|尾張国/*|-|1560年の桶狭間出陣と尾張佐久間氏との縁を地域推定に使用。丹羽家への後年の奉公を当年の所属にしない。
奥平貞治|-|元服前|三河国/額田郡|奥平貞勝|奥平貞勝の子として登録父を照合する。出生幅が広く元服年未詳のため元服前は暫定。父の現行所属を継承するゲーム設定で、今川・松平間の史実上の変転を確定しない。
妙林尼|-|浪人|豊後国/大分郡|-|鶴崎城防衛で知られるが出自・生年・婚姻相手に異説がある。鶴崎を代替配置に使い、1546年の大友家所属や婚姻は認定しない。
安田顕元|-|浪人|越後国/*|-|毛利安田氏・父景元から永禄年間頃に継承という記載を採用。大見安田氏と混同せず越後を代替配置に使い、謙信への後年奉公を遡及しない。
安食重政|-|浪人|尾張国/東春日井郡|-|父の戦死後に山田庄勝川へ潜居したという記録を地域根拠とする。1560年の軍功から1546年の織田家所属は推定しない。
宮部継潤|-|浪人|近江国/東浅井郡|-|1536年の比叡山入山と後の宮部村湯次神社への寄寓を手掛かりに近江へ配置。1546年の所属は未詳で、僧としての経歴は留保し浪人区分に整理。
富岡秀高|-|浪人|上野国/邑楽郡|-|小泉領の富岡氏と赤井氏との主従関係を地縁として採用。1562年以降の領主活動を1546年の大名・上杉家臣の根拠にしない。
富樫泰俊|-|浪人|加賀国/*|-|1531年の一揆への参戦・捕縛後の逃亡を確認。1546年の居所は特定できず加賀の出自を代替配置とし、弟の死後の家督継承は遡及しない。
寺村小八郎|-|浪人|近江国/*|-|六角氏から浅井氏に移ったとされるが、初期奉公年は未詳。近江出身という範囲で配置し、1546年所属は不明を維持。
寺西秀則|-|浪人|尾張国/愛知郡|-|荒子生まれという記載を採用。佐久間信盛与力としての軍功や前田家への転仕は後年のため当年の所属には使わない。
小川長資|honjo_echigo|武将|越後国/岩舩郡|-|本庄房長死後に幼主繁長の陣代となった経緯から本庄家の後見役を設定。後見は大名への昇格とせず武将に整理。上杉定実・長尾氏との関係の変化は留保。
小林吉隆|-|浪人|越前国/*|-|1568年以降の朝倉氏軍事行動と越前の活動圏を代用。1546年の朝倉家奉公は確認できない。
小林房実|oyamada_gunnai|武将|甲斐国/*|-|1536年の家督継承と松山宿開発、小山田氏家老という経歴を採用。甲斐武田家へ一括せず郡内小山田家に設定。
小畠永明|-|浪人|丹波国/船井郡|-|船井郡宍人の小畠氏という地縁を使用。1565年の知行安堵・波多野氏との関係は当年の奉公先を証明しないため所属不明。
小笠原貞慶|-|元服前|信濃国/東筑摩郡|小笠原長時|1546年に林城で生まれた小笠原長時の子として、登録父の所属家を継承。出生年内の配置は暫定で出仕は不可。
小野寺景綱|-|浪人|下野国/足利郡|-|寺岡村・大窪の知行に関する1561年の記録を配置の手掛かりとする。佐野・長尾両氏との後年の関係を1546年に固定しない。
小野鎮幸|-|元服前|豊後国/*|小野鑑幸|1546年生で小野鑑幸の子という記載を採用。登録父の所属が判明する場合のみ継承し、後年の道雪への奉公は遡及しない。
山内一豊|-|元服前|尾張国/丹羽郡|山内盛豊|1545年生の幼児として設定。父盛豊が人物表に登録され所属が判明する場合だけ継承し、未登録の場合は岩倉・黒田の地縁で配置する。
山口秀勝|-|浪人|山城国/綴喜郡|-|宇治田原の山口秀景一族とみられるという研究上の地縁を暫定採用。後年の織田家奉公から1546年所属を補わない。
山浦景国|-|元服前|信濃国/埴科郡|村上義清|1546年生の村上義清の子として登録父の所属を継承。越後移住や山浦姓の使用は後年で、出生時の越後上杉家所属にはしない。
山田藤蔵|-|浪人|越前国/*|-|1592年の出陣編成と越前国の武将という情報だけを代替配置に使用。1546年の出生・居住・所属は未確定で出仕を保留する。
岡本時仲|-|浪人|遠江国/*|-|1579年の佐鳴湖周辺の逸話は真偽にも留保がある。地縁が弱いため遠江を代替配置と明記し、1546年の徳川家所属は認定しない。
岩崎義高|-|浪人|羽後国/雄勝郡|-|後年の岩崎城と湯沢周辺での活動を地域の手掛かりとして使用。1546年の家督・奉公先・年齢は確定しない。
島清国|-|浪人|大和国/平群郡|-|永禄年間の平群嶋城主という記載を配置根拠とする。島左近との親子関係・同定には異説があり、1546年の城主身分を確定しない。
左右田正綱|-|浪人|三河国/幡豆郡|-|幡豆郡出身という経歴を採用。松井忠次への奉公や1560年の出陣は当年所属の確定根拠にしない。
左右田重次|-|浪人|三河国/幡豆郡|-|幡豆郡室の武士という地縁を採用。東条松平家忠への奉公時期は後年で、1546年の所属は不明のまま。
市川局|-|浪人|安芸国/*|-|吉川氏一門の娘という出自には父の異説がある。出生地域として安芸を暫定配置し、後年の市川経好との婚姻・毛利家での籠城を当年へ遡及しない。
平岡通倚|-|浪人|伊予国/久米郡|-|平岡房実の子で荏原城主となった経歴から本拠を代用。継承年・1546年の奉公先は未詳のため所属不明とする。
平岩康重|-|元服前|三河国/額田郡|平岩親重|1542年生の親吉のすぐ下の弟で1549年に駿府へ同行という記載から幼少と推定。父が登録され所属既知の場合のみ継承する。
徳島胤順|ryuzoji|武将|肥前国/*|-|1546年の龍造寺家兼による馬場頼周征討への参加が明記され、龍造寺家の武将とする。後年の軍歴だけで所属を推定した人物とは分ける。
志賀親度|otomo|武将|豊後国/*|-|父とともに1550年の大友家相続に尽力したことと志賀氏の家中関係から、1546年も大友家武将と暫定設定。家督相続時点は断定しない。
志駄義時|-|浪人|越後国/三嶋郡|-|夏戸城主・1561年の出陣記録を地縁として採用。1546年の直江氏・長尾氏への具体的な奉公は未確認。
成恒鎮家|-|浪人|豊前国/上毛郡|-|成恒氏の上毛郡成恒名の地縁を採用。紹介記事の改元年と西暦には食い違いがあり、服属時期や1546年の大内・大友家所属は認定しない。
我孫子五郎右衛門|-|浪人|下総国/南相馬郡|-|我孫子城主伝承と1579年手賀城救援の記述を配置に使用。1546年に城主だったと断定せず所属不明の浪人とする。
我孫子但馬守|-|浪人|下総国/南相馬郡|-|我孫子城または小金城との関係が伝わるため我孫子方面を暫定配置。後年の高城家への奉公を当年の所属にしない。
戸田重政|-|浪人|三河国/渥美郡|-|仁連木戸田家の宣光の子という系譜を採用。1546年の本人の年齢・仕官先が未詳で、後の徳川家奉公を遡及しない。
斎藤兵部少輔|-|浪人|越前国/足羽郡|-|出自不明で美濃出身説にも伝承が含まれる。確認できる後年の一乗谷活動圏を代用し、1546年の朝倉家・美濃斎藤家所属は不明。
於保宗易|ryuzoji|武将|肥前国/佐賀郡|-|父の1505年戦死や一族の1534年戦死後に龍造寺家兼との縁で取り立てられた経緯から龍造寺家を暫定採用。於保城が地縁の根拠。
日根野景盛|hosokawa_izumi|武将|和泉国/日根郡|-|1533年の土地売却と1543年の和泉上守護細川元常被官という記録を根拠とする。京兆細川家と区別して設定。
明石則実|-|浪人|播磨国/明石郡|-|播磨明石出身の記載を採用。秀吉の播磨入国後の奉公は1546年の所属を示さず、所属不明で配置する。
最上義光|-|元服前|羽前国/南村山郡|最上義守|最上義光歴史館の1546年1月山形城出生の説明に基づく。登録父義守の所属を継承し、出生年の出仕は不可。
服部久太夫|-|浪人|三河国/*|-|1560年の松平元康家中での偵察記事を地縁として使用。没年にも異説があるため、1546年の奉公・在世を確定しない。
服部保長|-|浪人|伊賀国/伊賀郡|-|伊賀予野出身を配置に採用。松平清康への奉公説に対し三重県の紹介は足利家から永禄初年の徳川再仕官を述べるため、1546年の奉公先は不明を維持。
服部正成|-|元服前|三河国/額田郡|服部保長|1542年生で服部保長の子という記載と岡崎伊賀の出生地説を採用。登録父の1546年所属が不明なので本人も不明のまま、出仕は不可とする。
望月千代女|-|浪人|信濃国/小県郡|-|近代以降の紹介が引く千代女房・祢津の伝承を地縁として採用。人物同定やくノ一像には疑義があり、1546年の所属・出生を確認済みとは扱わない。
奥山定友|-|浪人|遠江国/豊田郡|-|奥山郷の出自を地域推定に使用。1567年に今川直参となる以前の1546年の本人の奉公は未確認。奥山友久は父子ではなく兄弟とする研究があるため誤った親子継承をしない。
奥平貞友|-|浪人|三河国/額田郡|-|日近城の地縁で配置。1547年の今川方での軍功は確認できるが前年の従属先を確定できず、奥平本家の登録松平所属に自動統合しない。
小山隆重|-|浪人|紀伊国/西牟婁郡|-|紀州小山氏の富田郷の地縁を代替配置に使用。下野小山家と区別し、後年の織田・豊臣奉公を1546年の所属へ遡らせない。
